Symbol,Applicable Step value,"No. of Strikes Provided
In the money - At the money - Out of the money",No of additional strikes which may be enabled intraday
ACC,20,10 -1- 10,10
ADANIENT,5,7 -1- 7,7
ADANIPORTS,10,8 -1- 8,8
ADANIPOWER,2.5,5 -1- 5,5
AJANTPHARM,50,6 -1- 6,6
ALBK,2.5,6 -1- 6,6
AMARAJABAT,20,8 -1- 8,8
AMBUJACEM,5,10 -1- 10,10
ANDHRABANK,2.5,5 -1- 5,5
APOLLOHOSP,20,10 -1- 10,10
APOLLOTYRE,5,10 -1- 10,10
ARVIND,10,9 -1- 9,9
ASHOKLEY,2.5,9 -1- 9,9
ASIANPAINT,20,10 -1- 10,10
AUROPHARMA,20,7 -1- 7,7
AXISBANK,20,6 -1- 6,6
BAJAJ-AUTO,50,10 -1- 10,10
BAJAJFINSV,50,10 -1- 10,10
BAJFINANCE,50,7 -1- 7,7
BALKRISIND,50,10 -1- 10,10
BALRAMCHIN,5,6 -1- 6,6
BANKBARODA,10,5 -1- 5,5
BANKINDIA,10,5 -1- 5,5
BATAINDIA,20,8 -1- 8,8
BEL,5,8 -1- 8,8
BEML,50,6 -1- 6,6
BERGEPAINT,5,10 -1- 10,10
BHARATFIN,20,10 -1- 10,10
BHARATFORG,20,7 -1- 7,7
BHARTIARTL,20,6 -1- 6,6
BHEL,2.5,8 -1- 8,8
BIOCON,20,6 -1- 6,6
BOSCHLTD,50,10 -1- 10,10
BPCL,10,10 -1- 10,10
BRITANNIA,50,10 -1- 10,10
CADILAHC,10,9 -1- 9,9
CANBK,20,5 -1- 5,5
CANFINHOME,20,5 -1- 5,5
CAPF,20,7 -1- 7,7
CASTROLIND,2.5,10 -1- 10,10
CEATLTD,50,8 -1- 8,8
CENTURYTEX,20,10 -1- 10,10
CESC,20,10 -1- 10,10
CGPOWER,2.5,7 -1- 7,7
CHENNPETRO,10,9 -1- 9,9
CHOLAFIN,50,6 -1- 6,6
CIPLA,10,10 -1- 10,10
COALINDIA,5,10 -1- 10,10
COLPAL,20,10 -1- 10,10
CONCOR,20,10 -1- 10,10
CUMMINSIND,20,9 -1- 9,9
DABUR,5,10 -1- 10,10
DALMIABHA,50,10 -1- 10,10
DCBBANK,5,8 -1- 8,8
DHFL,20,6 -1- 6,6
DISHTV,2.5,7 -1- 7,7
DIVISLAB,50,5 -1- 5,5
DLF,10,5 -1- 5,5
DRREDDY,50,10 -1- 10,10
EICHERMOT,50,10 -1- 10,10
ENGINERSIN,5,8 -1- 8,8
EQUITAS,2.5,10 -1- 10,10
